constituency_no,division,constituency_name,poverty_rate,literacy_rate,winner_candidate,winner_party,winner_votes,runner_candidate,runner_party,runner_votes,margin,total_voters,male_voters,female_voters,transgender_voters,status,top2_votes,winner_share_top2,margin_pct_top2,male_pct,female_pct,transgender_pct,gender_gap,competitiveness,cluster
270,Chittagong,Noakhali-3,6.1,51.0,Barkat Ullah Bulu,BNP,141031.0,Md. Borhan Uddin,Jamaat,123941.0,17090.0,511759,269886,241865,8,Normal,264972.0,53.224869042766784,6.449738085533566,52.7369328140785,47.26150395010151,0.0015632358199855,5.475428863976987,Close,0.0
271,Chittagong,Noakhali-4,6.1,51.0,Md. Shahjahan,BNP,219182.0,Md. Ishaq Khandkar,Jamaat,148989.0,70193.0,700339,366659,333677,3,Normal,368171.0,59.53266281157397,19.065325623147935,52.35450260516693,47.645069030855055,0.0004283639780163,4.709433574311873,Moderate,0.0
272,Chittagong,Noakhali-5,6.1,51.0,Mohammad Fakhrul Islam,BNP,147808.0,Mohammad Belayet Hossain,Jamaat,120453.0,27355.0,503851,261779,242072,0,Normal,268261.0,55.09857936859999,10.197158737199963,51.95563767859943,48.04436232140058,0.0,3.911275357198853,Close,0.0
273,Chittagong,Noakhali-6,6.1,51.0,Abdul Hannan Masud,NCP,91899.0,Mohammad Mahbuber Rahman,BNP,64021.0,27878.0,339185,178309,160874,2,Normal,155920.0,58.939840944073886,17.87968188814777,52.56983651989328,47.429573831389945,0.0005896487167769,5.140262688503334,Moderate,0.0
274,Chittagong,Lakshmipur-1,15.6,51.0,Md. Shahadat Hossain,BNP,86811.0,Md. Mahbub Alam,NCP,59265.0,27546.0,281302,144658,136644,0,Normal,146076.0,59.42865357758975,18.85730715517949,51.42444774654997,48.57555225345003,0.0,2.848895493099945,Moderate,0.0
275,Chittagong,Lakshmipur-2,15.6,51.0,Md. Abul Khair Bhuiyan,BNP,146321.0,S. U. M. Ruhul Amin Bhuiyan,Jamaat,133698.0,12623.0,493970,254407,239558,5,Normal,280019.0,52.25395419596527,4.507908391930548,51.50252039597546,48.49646739680548,0.0010122072190618,3.006052999169981,Very Close,0.0
276,Chittagong,Lakshmipur-3,15.6,51.0,Shahid Uddin Chowdhury Anee,BNP,135612.0,Md. Rezaul Karim,Jamaat,122802.0,12810.0,444472,229709,214758,5,Normal,258414.0,52.47858088184076,4.957161763681534,51.68132075811299,48.31755431163268,0.0011249302543242,3.3637664464803123,Very Close,0.0
277,Chittagong,Lakshmipur-4,15.6,51.0,A. B. M. Ashraf Uddin Nijan,BNP,115199.0,Md. Ashraful Rahman Hafizulya,Jamaat,73756.0,41443.0,418160,218483,199676,1,Normal,188955.0,60.96636765367416,21.93273530734831,52.2486607996939,47.7511000573943,0.000239142911804,4.497560742299605,Moderate,0.0
278,Chittagong,Chittagong-1,12.0,51.0,Nurul Amin,BNP,128799.0,Mohammad Shaifur Rahman,Jamaat,84538.0,44261.0,386674,199859,186811,4,Normal,213337.0,60.37349358057909,20.746987161158167,51.686692148942,48.3122733879185,0.0010344631394921,3.374418761023499,Moderate,0.0
279,Chittagong,Chittagong-2,12.0,51.0,Sarwar Alamgi,BNP,138545.0,Mohammad Nurul Amin,Jamaat,62160.0,76385.0,488465,259197,229267,1,Normal,200705.0,69.02917216810742,38.05834433621485,53.06357671481068,46.93621856223066,0.0002047229586561,6.127358152580015,Large,2.0
280,Chittagong,Chittagong-3,12.0,51.0,Mostafa Kamal Pasha,BNP,72519.0,Mohammad Alauddin Sikder,Jamaat,36818.0,35701.0,260485,134720,125763,2,Normal,109337.0,66.3261293066391,32.652258613278214,51.71890895828935,48.28032324318099,0.0007677985296658,3.43858571510836,Large,2.0
281,Chittagong,Chittagong-4,12.0,51.0,Aslam Chawdhury,BNP,142674.0,Anwar Siddiqui Chawdhury,Jamaat,89268.0,53406.0,448380,235352,213016,12,Normal,231942.0,61.51279199110122,23.02558398220245,52.48940630715019,47.50791739149828,0.0026763013515321,4.981488915651909,Moderate,0.0
282,Chittagong,Chittagong-5,12.0,51.0,Mir Mohammad Helal Uddin,BNP,147054.0,Md. Nasir Uddin,BKM,46589.0,100465.0,501916,260903,241012,1,Normal,193643.0,75.94077761654178,51.88155523308357,51.98140724742786,48.01839351604651,0.0001992365256337,3.963013731381352,Very Large,2.0
283,Chittagong,Chittagong-6,12.0,51.0,Giasuddin Quader Chowdhury,BNP,111201.0,Mohammad Ilias Nuri,BIF,26696.0,84505.0,339988,178971,161017,0,Normal,137897.0,80.64062307374344,61.28124614748689,52.64038730778733,47.35961269221266,0.0,5.280774615574664,Very Large,2.0
284,Chittagong,Chittagong-7,12.0,51.0,Humam Quader Chowdhury,BNP,101445.0,ATM Rezaul Karim,Jamaat,41719.0,59726.0,319008,167531,151476,1,Normal,143164.0,70.85929423598111,41.71858847196223,52.51623783729562,47.48344869094192,0.0003134717624636,5.0327891463537,Large,2.0
285,Chittagong,Chittagong-8,12.0,51.0,Ershad Ullah,BNP,152969.0,Md. Abu Nasser,Jamaat,53564.0,99405.0,554729,282606,272122,1,Normal,206533.0,74.06516149961507,48.13032299923015,50.9448757861947,49.05494394560227,0.0001802682030324,1.889931840592432,Large,2.0
286,Chittagong,Chittagong-9,12.0,51.0,Mohammad Abu Sufian,BNP,109388.0,Dr. AKM Fazlul Haque,Jamaat,53807.0,55581.0,397476,202689,194778,9,Normal,163195.0,67.02901436931279,34.05802873862557,50.99402228059052,49.00371343175437,0.0022642876551037,1.9903088488361504,Large,2.0
287,Chittagong,Chittagong-10,12.0,51.0,Sayeed Al Noman,BNP,122978.0,Muhammad Shamsuzzaman Helaly,Jamaat,76919.0,46059.0,492444,249784,242631,29,Normal,199897.0,61.52068315182319,23.041366303646377,50.723330977735536,49.27078002777981,0.005888994484652,1.4525509499557288,Moderate,0.0
288,Chittagong,Chittagong-11,12.0,51.0,Amir Khasru Mahmud Chowdhury,BNP,115999.0,Mohammad Shafiul Alam,Jamaat,76681.0,39318.0,495278,252333,242942,3,Normal,192680.0,60.202927133070375,20.405854266140757,50.94775055625325,49.05164372332306,0.0006057204236812,1.8961068329301936,Moderate,0.0
289,Chittagong,Chittagong-12,12.0,51.0,Mohammad Enamul Haque,BNP,135044.0,Syed Air Mohammad Payaru,BIF,28999.0,106045.0,352695,184254,168440,1,Normal,164043.0,82.32231792883573,64.64463585767146,52.24173861268234,47.75797785622138,0.0002835310962729,4.48376075646096,Very Large,2.0
290,Chittagong,Chittagong-13,12.0,51.0,Sarwar Jamal Nizam,BNP,126192.0,S. M. Shah Jahan,BIF,51450.0,74742.0,395246,207714,187532,0,Normal,177642.0,71.03725470327963,42.07450940655926,52.55309351644293,47.44690648355708,0.0,5.106187032885849,Large,2.0
291,Chittagong,Chittagong-14,12.0,51.0,Jashim Uddin Ahammed,BNP,76493.0,Omar Farooq,LDP,75467.0,1026.0,313513,165847,147665,1,Normal,151960.0,50.3375888391682,0.6751776783364043,52.89956078376336,47.100120250196966,0.0003189660396857,5.79944053356639,Very Close,0.0
292,Chittagong,Chittagong-15,12.0,51.0,Shajahan Chowdhury,Jamaat,172061.0,Nazmul Mustafa Amin,BNP,127025.0,45036.0,506059,270915,235144,0,Normal,299086.0,57.52893816494253,15.057876329885053,53.53427169559281,46.46572830440719,0.0,7.068543391185614,Moderate,0.0
293,Chittagong,Chittagong-16,12.0,51.0,Mohammad Zahirul Islam,Jamaat,93167.0,Miskatul Islam Chowdhury,BNP,83105.0,10062.0,411274,219982,191287,5,Normal,176272.0,52.85411182717618,5.708223654352365,53.487942345006005,46.51084192047151,0.0012157345224837,6.977100424534491,Close,0.0
294,Chittagong,Cox's Bazar-1,27.8,51.0,Salahuddin Ahmed,BNP,222019.0,Abdullah Al Farooq,Jamaat,129728.0,92291.0,540490,290291,250198,1,Normal,351747.0,63.11894628809912,26.237892576198234,53.708856778108746,46.29095820459213,0.0001850172991174,7.417898573516616,Moderate,0.0
295,Chittagong,Cox's Bazar-2,27.8,51.0,Alamgir Mahfuzullah Farid,BNP,125543.0,A. H. M. Hamidur Rahman Azad,Jamaat,91889.0,33654.0,387851,206453,181398,0,Normal,217432.0,57.73897126457928,15.477942529158542,53.229977491356216,46.77002250864378,0.0,6.459954982712432,Moderate,0.0
296,Chittagong,Cox's Bazar-3,27.8,51.0,Lutfur Rahman Kajal,BNP,182096.0,Shahidul Alam,Jamaat,161827.0,20269.0,545963,291099,254863,1,Normal,343923.0,52.94673517037244,5.893470340744876,53.31844831975793,46.6813685176468,0.0001831625952674,6.637079802111131,Close,0.0
297,Chittagong,Cox's Bazar-4,27.8,51.0,Shahjahan Chowdhury,BNP,122909.0,Noor Ahmad Anwari,Jamaat,121980.0,929.0,375688,192803,182879,6,Normal,244889.0,50.1896777723785,0.3793555447570123,51.31997827984923,48.678424650241695,0.0015970699090734,2.641553629607536,Very Close,0.0
298,Chittagong,Khagrachhari,15.9,51.0,Wadud Bhuiyan,BNP,151040.0,Dharma Jyoti Chakma,IND,68315.0,82725.0,554119,280206,273909,4,Normal,219355.0,68.85641995851473,37.71283991702947,50.56783831631834,49.431439817079,0.0007218666026611,1.136398499239334,Large,2.0
299,Chittagong,Rangamati,14.3,51.0,Dipen Dewan,BNP,201544.0,Pahel Chakma,IND,31222.0,170322.0,509272,263411,245859,2,Normal,232766.0,86.58652896041518,73.17305792083036,51.72304780156772,48.27655948098462,0.0003927174476507,3.4464883205831,Very Large,2.0
300,Chittagong,Bandarban,25.0,51.0,Saching Prue Jerry,BNP,141455.0,Abu Saeed Md. Suja Uddin,NCP,26162.0,115293.0,315422,161775,153647,0,Normal,167617.0,84.39179796798653,68.78359593597308,51.2884326394481,48.711567360551896,0.0,2.576865278896207,Very Large,2.0
