constituency_no,division,constituency_name,poverty_rate,literacy_rate,winner_candidate,winner_party,winner_votes,runner_candidate,runner_party,runner_votes,margin,total_voters,male_voters,female_voters,transgender_voters,status,top2_votes,winner_share_top2,margin_pct_top2,male_pct,female_pct,transgender_pct,gender_gap,competitiveness,cluster
75,Khulna,Kushtia-1,18.0,52.9,Reza Ahmed,BNP,165909.0,Md. Belal Uddin,Jamaat,86682.0,79227.0,404504,203492,201011,1,Normal,252591.0,65.68286280983882,31.365725619677654,50.30654826651899,49.69320451713703,0.0002472163439669,0.6133437493819542,Large,2.0
76,Khulna,Kushtia-2,18.0,52.9,Abdul Ghafoor,Jamaat,192083.0,Ragib Rauf Chowdhury,BNP,143821.0,48262.0,523454,262632,260819,3,Normal,335904.0,57.18389778031818,14.367795560636374,50.1728900724801,49.82653681125753,0.0005731162623649,0.3463532612225677,Close,0.0
77,Khulna,Kushtia-3,18.0,52.9,Amir Hamza,Jamaat,180690.0,Md. Zakir Hossain Sarkar,BNP,126909.0,53781.0,440842,217269,223569,4,Normal,307599.0,58.74206353076571,17.48412706153141,49.28500460482441,50.71408804061319,0.0009073545624055,-1.4290834357887832,Moderate,0.0
78,Khulna,Kushtia-4,18.0,52.9,Md. Afjal Hossain,Jamaat,148201.0,Syed Mehdi Ahmed Rumi,BNP,139603.0,8598.0,424417,213504,210908,5,Normal,287804.0,51.493724896109846,2.987449792219705,50.30524224995701,49.69357966339709,0.0011780866459166,0.6116625865599161,Very Close,0.0
79,Khulna,Chuadanga-1,20.9,52.9,Md. Masood Parvez,Jamaat,211041.0,Md. Sharifuzzaman,BNP,153193.0,57848.0,511657,254385,257265,7,Normal,364234.0,57.9410488861556,15.882097772311209,49.71787740615295,50.28075448982424,0.0013681040228121,-0.5628770836712889,Moderate,0.0
80,Khulna,Chuadanga-2,20.9,52.9,Md. Ruhul Amin,Jamaat,208011.0,Mahmud Hasan Khan,BNP,163877.0,44134.0,492431,246716,245711,4,Normal,371888.0,55.93377576044401,11.867551520888007,50.1016386052056,49.8975490982493,0.0008122965450997,0.2040895069563006,Close,0.0
81,Khulna,Jhenaidah-1,21.2,52.9,Md. Asaduzzaman,BNP,173381.0,Abu Saleh Md. Matiur Rahman,Jamaat,57055.0,116326.0,325278,163001,162277,0,Normal,230436.0,75.24041382422885,50.480827648457705,50.11128942012678,49.88871057987322,0.0,0.2225788402535613,Very Large,2.0
82,Khulna,Jhenaidah-2,21.2,52.9,Ali Azam Md. Abu Bakr,Jamaat,195702.0,Md. Abdul Majeed,BNP,175984.0,19718.0,506640,251666,254963,11,Normal,371686.0,52.65250776192808,5.305015523856159,49.673535449234166,50.32429338386231,0.0021711669035212,-0.6507579346281389,Close,0.0
83,Khulna,Jhenaidah-3,21.2,52.9,Md. Motiyar Rahman,Jamaat,175857.0,Mohammad Mehdi Hasan,BNP,149821.0,26036.0,431015,217470,213542,3,Normal,325678.0,53.99719968803542,7.994399376070843,50.45532058049024,49.54398338804914,0.000696031460622,0.9113371924410956,Close,0.0
84,Khulna,Jhenaidah-4,21.2,52.9,Md. Abu Talib,Jamaat,105999.0,Md. Saiful Islam Feroze,IND,77104.0,28895.0,375177,189011,186159,7,Normal,183103.0,57.89036771653113,15.780735433062263,50.37915437246953,49.61897984151481,0.0018657860156672,0.7601745309547212,Moderate,0.0
85,Khulna,Jessore-1,20.0,52.9,Muhammad Azizur Rahman,Jamaat,119093.0,Md. Nuruzzaman Liton,BNP,93542.0,25551.0,311633,155807,155823,3,Normal,212635.0,56.00818303665906,12.016366073318126,49.99695154235912,50.00208578680692,0.0009626708339617,-0.0051342444477953,Close,0.0
86,Khulna,Jessore-2,20.0,52.9,Mohammad Moslehuddin Farid,Jamaat,180965.0,Sabira Sultana,BNP,146447.0,34518.0,484866,243374,241490,2,Normal,327412.0,55.27134008527482,10.542680170549644,50.19407423906811,49.80551327583291,0.0004124850989757,0.3885609632352,Close,0.0
