constituency_no,division,constituency_name,poverty_rate,literacy_rate,winner_candidate,winner_party,winner_votes,runner_candidate,runner_party,runner_votes,margin,total_voters,male_voters,female_voters,transgender_voters,status,top2_votes,winner_share_top2,margin_pct_top2,male_pct,female_pct,transgender_pct,gender_gap,competitiveness
36,Rajshahi,Bogra-1,12.0,47.2,Kazi Rafiqul Islam,BNP,171440.0,Md. Shahabuddin,Jamaat,57959.0,113481.0,376019,186388,189626,5,Normal,229399.0,74.73441470974154,49.468829419483086,49.56877179078717,50.42989848917209,0.0013297200407426221,-0.861126698384922,Large
37,Rajshahi,Bogra-2,12.0,47.2,Mir Shahe Alam,BNP,145024.0,Abul Azad Md Shahaduzzaman,Jamaat,93548.0,51476.0,342155,171497,170653,5,Normal,238572.0,60.78835739315595,21.57671478631189,50.12260525200567,49.87593342198711,0.0014613260072189505,0.2466718300185562,Moderate
38,Rajshahi,Bogra-3,12.0,47.2,Md. Abdul Mohit Talukder,BNP,127406.0,Noor Mohammad,Jamaat,111026.0,16380.0,339181,169347,169831,3,Normal,238432.0,53.43494161857468,6.869883237149375,49.92820942210796,50.07090609438618,0.0008844835058567548,-0.1426966722782197,Close
39,Rajshahi,Bogra-4,12.0,47.2,Md. Mosharraf Hossain,BNP,155339.0,Md. Mustafa Faisal,Jamaat,108978.0,46361.0,359523,178985,180530,8,Normal,264317.0,58.76996182614058,17.53992365228116,49.784019381235694,50.21375544819108,0.0022251705732317544,-0.42973606695538535,Moderate
40,Rajshahi,Bogra-5,12.0,47.2,Gholam Mohammad Siraj,BNP,248841.0,Md. Dabibur Rahman,Jamaat,143329.0,105512.0,572340,281287,291047,6,Normal,392170.0,63.45232934696688,26.904658693933754,49.146835796903936,50.852115875179095,0.0010483279169724291,-1.705280078275159,Moderate
41,Rajshahi,Bogra-6,12.0,47.2,Tarique Rahman,BNP,216284.0,Md. Abidur Rahman,Jamaat,97626.0,118658.0,454043,222796,231237,10,Normal,313910.0,68.90000318562646,37.800006371252906,49.069361271950015,50.92843629347881,0.0022024345711749767,-1.8590750215287954,Large
42,Rajshahi,Bogra-7,12.0,47.2,Morshed Milton,BNP,264212.0,Md. Golam Rabbani,Jamaat,116665.0,147547.0,538092,270070,268017,5,Normal,380877.0,69.36937646536808,38.73875293073617,50.19030203013612,49.80876876073236,0.0009292091315239773,0.38153326940375365,Large
43,Rajshahi,Chapai Nawabganj-1,34.7,47.2,Md. Keramat Ali,Jamaat,206893.0,Md. Shahjahan Mia,BNP,162515.0,44378.0,500181,255316,244865,0,Normal,369408.0,56.00663764726265,12.013275294525293,51.04472181070453,48.95527818929548,0.0,2.0894436214090533,Close
44,Rajshahi,Chapai Nawabganj-2,34.7,47.2,Md. Mizanur Rahman,Jamaat,171227.0,Md. Aminul Islam,BNP,155119.0,16108.0,461000,228825,232174,1,Normal,326346.0,52.46793280751104,4.935865615022093,49.63665943600868,50.36312364425163,0.00021691973969631238,-0.7264642082429518,Very Close
45,Rajshahi,Chapai Nawabganj-3,34.7,47.2,Md. Nurul Islam,Jamaat,189640.0,Harunur Rashid,BNP,127037.0,62603.0,468479,236648,231831,0,Normal,316677.0,59.884361668198196,19.76872333639639,50.51411055778381,49.48588944221619,0.0,1.028221115567618,Moderate
46,Rajshahi,Naogaon-1,16.2,47.2,Md. Mostafizur Rahman,BNP,173864.0,Md. Mahbubul Alam,Jamaat,153816.0,20048.0,474067,235379,238684,4,Normal,327680.0,53.05908203125001,6.1181640625,49.6509986984962,50.34815753891328,0.0008437625905199054,-0.6971588404170745,Close
47,Rajshahi,Naogaon-2,16.2,47.2,Md. Enamul Haque,Jamaat,141526.0,Md. Samsujjoha Khan,BNP,134533.0,6993.0,372436,185375,187059,2,Normal,276059.0,51.26657707229252,2.5331541445850347,49.77365238591329,50.22581060907109,0.0005370050156268459,-0.4521582231578023,Very Close
48,Rajshahi,Naogaon-3,16.2,47.2,Md. Fazle Huda,BNP,166889.0,Md. Mahfuzur Rahman,Jamaat,119421.0,47468.0,440785,218988,221796,1,Normal,286310.0,58.28961615032657,16.57923230065314,49.68136393026079,50.318409201765036,0.00022686797418242452,-0.6370452715042489,Moderate
49,Rajshahi,Naogaon-4,16.2,47.2,Ekramul Bari Tipu,BNP,133924.0,Md. Abdur Rakib,Jamaat,97585.0,36339.0,333862,165643,168215,4,Normal,231509.0,57.848290995166494,15.696581990332989,49.61421185999006,50.38459004019625,0.0011980998136954788,-0.770378180206194,Moderate
50,Rajshahi,Naogaon-5,16.2,47.2,Md. Zahidul Islam Dulu,BNP,129385.0,Abu Sadat Md. Sayem,Jamaat,104747.0,24638.0,363030,180031,182994,5,Normal,234132.0,55.26156185399689,10.523123707993781,49.591218356609645,50.40740434674821,0.0013772966421507864,-0.816185990138564,Close
51,Rajshahi,Naogaon-6,16.2,47.2,Sheikh Md. Rezaul Islam,BNP,108866.0,Md. Khabirul Islam,Jamaat,97629.0,11237.0,345416,174350,171061,5,Normal,206495.0,52.72088912564469,5.441778251289377,50.47536883062742,49.52318363943766,0.0014475299349190542,0.9521851911897556,Close
52,Rajshahi,Rajshahi-1,15.5,47.2,Mujibur Rahman,Jamaat,171786.0,Md. Sharif Uddin,BNP,169902.0,1884.0,468780,234078,234699,3,Normal,341688.0,50.27569010325209,0.5513802065041792,49.93344425956739,50.06591578138999,0.0006399590426212722,-0.1324715218226018,Very Close
53,Rajshahi,Rajshahi-2,15.5,47.2,Mizanur Rahman Minu,BNP,128546.0,Mohammad Jahangir,Jamaat,100370.0,28176.0,369564,178249,191307,8,Normal,228916.0,56.15422250956683,12.308445019133655,48.23224123561819,51.76559405136864,0.0021647130131722788,-3.5333528157504475,Close
54,Rajshahi,Rajshahi-3,15.5,47.2,Shofiqul Haque Milon,BNP,176318.0,Md. Abul Kalam Azad,Jamaat,137927.0,38391.0,423738,210897,212835,6,Normal,314245.0,56.10845041289439,12.216900825788796,49.770612973110744,50.227971057587474,0.0014159693017855373,-0.45735808447673065,Close
55,Rajshahi,Rajshahi-4,15.5,47.2,Md. Abdul Bari,Jamaat,115226.0,Ziaur Rahman,BNP,109461.0,5765.0,319909,160720,159185,4,Normal,224687.0,51.28289576165955,2.565791523319106,50.23928679718295,49.759462847247185,0.0012503555698651805,0.4798239499357635,Very Close
56,Rajshahi,Rajshahi-5,15.5,47.2,Nazrul Islam,BNP,153425.0,Manzoor Rahman,Jamaat,73445.0,79980.0,376333,187764,188564,5,Normal,226870.0,67.62683475117909,35.25366950235818,49.89304684946577,50.105624539968595,0.0013286105656426623,-0.21257769050282604,Large
57,Rajshahi,Rajshahi-6,15.5,47.2,Md. Abu Said Chand,BNP,148672.0,Md. Nazmul Haque,Jamaat,92965.0,55707.0,357054,178068,178984,2,Normal,241637.0,61.52700124567016,23.054002491340317,49.87144801626645,50.127991844370875,0.0005601393626734331,-0.25654382810442655,Moderate
58,Rajshahi,Natore-1,24.4,47.2,Farzana Sharmin,BNP,102726.0,Md. Abul Kalam Azad,Jamaat,90568.0,12158.0,368276,183595,184679,2,Normal,193294.0,53.14495017951928,6.289900359038563,49.852556234997664,50.14690069404468,0.0005430709576513267,-0.2943444590470179,Close
59,Rajshahi,Natore-2,24.4,47.2,Ruhul Quddus Talukdar Dulu,BNP,162841.0,Md. Yunus Ali,Jamaat,130066.0,32775.0,406886,201655,205222,9,Normal,292907.0,55.59477923026763,11.189558460535256,49.56056487566542,50.43722320256779,0.0022119217667847997,-0.8766583269023727,Close
60,Rajshahi,Natore-3,24.4,47.2,Md. Anwarul Islam,BNP,119768.0,Md. Daudar Mahmud,IND,66492.0,53276.0,326872,164088,162781,3,Normal,186260.0,64.30151401267045,28.603028025340922,50.19946645781835,49.799615751731565,0.0009177904500844368,0.39985070608678797,Moderate
